"group","index","HR","lower","upper","p","N","events","hr_ci"
"FemaleRepro","PNI",0.769202400901982,0.611703484663533,0.967253495178016,0.0247813719707367,415,121,"0.77 (0.61-0.97)"
"FemaleRepro","CONUT",0.777993904607475,0.658209884872694,0.919576763456618,0.00325247704010429,415,121,"0.78 (0.66-0.92)"
"FemaleRepro","GNRI",0.69435208944614,0.542618199851891,0.888515763477556,0.00373714913393612,415,121,"0.69 (0.54-0.89)"
"OtherSolid","PNI",0.73684906940326,0.651881978868749,0.832890873931903,1.03383821407601e-06,1218,444,"0.74 (0.65-0.83)"
"OtherSolid","CONUT",0.730470865402413,0.662541703022609,0.805364677826992,2.85290180873728e-10,1218,444,"0.73 (0.66-0.81)"
"OtherSolid","GNRI",0.852348963280218,0.758263017693352,0.958109176173306,0.00742748161164659,1218,444,"0.85 (0.76-0.96)"
"Breast","PNI",0.792186966973072,0.662035168742437,0.947925760249371,0.0109599759746466,440,165,"0.79 (0.66-0.95)"
"Breast","CONUT",0.859977283612722,0.729257328741281,1.01412889412633,0.0729432629742956,440,165,"0.86 (0.73-1.01)"
"Breast","GNRI",0.822760046830139,0.676884720812862,1.00007294277083,0.0500856850940337,440,165,"0.82 (0.68-1.00)"
"GI","PNI",0.791443716561898,0.651355526192268,0.961660922947959,0.018608003967123,353,189,"0.79 (0.65-0.96)"
"GI","CONUT",0.71833734946068,0.620371248336302,0.8317737951493,9.77039043398856e-06,353,189,"0.72 (0.62-0.83)"
"GI","GNRI",0.761925768795487,0.648728062004821,0.894875543629988,0.00092140683642683,353,189,"0.76 (0.65-0.89)"
"ProstateUrinary","PNI",0.886718304724888,0.755689219532125,1.04046654578583,0.140559029157508,516,216,"0.89 (0.76-1.04)"
"ProstateUrinary","CONUT",0.915507642738364,0.7951721755033,1.05405378826523,0.219529365948895,516,216,"0.92 (0.80-1.05)"
"ProstateUrinary","GNRI",0.847697103382058,0.714247187760935,1.00608079583066,0.0586780702317231,516,216,"0.85 (0.71-1.01)"
