"Index","Model","N","Events","HR","Lower","Upper","P","HR_CI"
"PNI","Basic",225,101,0.741743508981356,0.552077045973873,0.99657002066703,0.0473934243699321,"0.742 (0.552-0.997)"
"CONUT","Basic",225,101,0.679866553954714,0.569884214639622,0.811074459183875,1.8216299511885e-05,"0.680 (0.570-0.811)"
"GNRI","Basic",225,101,0.686385102318968,0.552536234909882,0.852658122525231,0.000673412851489407,"0.686 (0.553-0.853)"
"PNI","+edu+PIR",225,101,0.740455461889891,0.550667913126424,0.995653238500382,0.0467237473611114,"0.740 (0.551-0.996)"
"CONUT","+edu+PIR",225,101,0.679147811444448,0.567838602846002,0.812276142337001,2.27018249074745e-05,"0.679 (0.568-0.812)"
"GNRI","+edu+PIR",225,101,0.683384846732128,0.548655555592265,0.85119861447308,0.000678861822857294,"0.683 (0.549-0.851)"
"PNI","+Smoking",133,61,0.683740988893187,0.480476854474106,0.972995338983239,0.0346821646168902,"0.684 (0.480-0.973)"
"CONUT","+Smoking",133,61,0.634399827238265,0.504369821177766,0.797952462461254,0.00010081397648378,"0.634 (0.504-0.798)"
"GNRI","+Smoking",133,61,0.714775225941972,0.549077313242671,0.930476658383804,0.0125786015420533,"0.715 (0.549-0.930)"
"PNI","+Charlson",133,61,0.683740988893187,0.480476854474106,0.972995338983239,0.0346821646168902,"0.684 (0.480-0.973)"
"CONUT","+Charlson",133,61,0.634399827238265,0.504369821177766,0.797952462461254,0.00010081397648378,"0.634 (0.504-0.798)"
"GNRI","+Charlson",133,61,0.714775225941972,0.549077313242671,0.930476658383804,0.0125786015420533,"0.715 (0.549-0.930)"
