"Subgroup","N","Events","HR","Lower","Upper","P","HR_CI"
"All patients",313,169,0.778854615487504,0.631009118131764,0.96134032716072,0.0199621010582278,"0.78 (0.63-0.96)"
"Age < 60",76,26,0.695244720804656,0.367076485573947,1.31679701861309,0.264658195301035,"0.70 (0.37-1.32)"
"Age 60-74",115,57,0.947885287760482,0.706570101262424,1.27161695229879,0.721065750430687,"0.95 (0.71-1.27)"
"Age >= 75",122,86,0.598285802998055,0.425123887014317,0.84198021565646,0.00321319695614917,"0.60 (0.43-0.84)"
"Female",64,46,0.779600355544302,0.514632923422046,1.18099073476178,0.240023690936219,"0.78 (0.51-1.18)"
"Male",249,123,0.745938977432074,0.578976573986555,0.961049173753494,0.0233730045257684,"0.75 (0.58-0.96)"
"Non-Hispanic White",160,85,0.811553021480855,0.601570235107712,1.09483193854626,0.171664269064851,"0.81 (0.60-1.09)"
"Non-Hispanic Black",45,17,0.690562433825043,0.353682805829042,1.34831681707725,0.278123868058846,"0.69 (0.35-1.35)"
"Hispanic",101,66,0.67382888755572,0.481987397204239,0.942027472789252,0.0209264783361119,"0.67 (0.48-0.94)"
"BMI < 30",210,120,0.872368274317359,0.68238819875501,1.11523969409774,0.275888174887064,"0.87 (0.68-1.12)"
"BMI >= 30",103,49,0.550948486115916,0.364203065824837,0.833447773609374,0.00476345804520469,"0.55 (0.36-0.83)"
"CRC",223,114,0.691794080485597,0.526330888718057,0.909274108841588,0.00824452904529543,"0.69 (0.53-0.91)"
"Non-CRC GI",90,55,0.84953082643483,0.629018061167763,1.14734801688081,0.287546459947247,"0.85 (0.63-1.15)"
