"Variable","GI Tumor (n=313)","Non-Cancer (n=40,480)","Other Cancer (n=3,273)"
"N","313","40480","3273"
"Age, years","67.5 (13.8)","45.5 (18.4)","65.6 (15.0)"
"Sex, Female","64 (20.4%)","7172 (17.7%)","510 (15.6%)"
"Sex, Male","249 (79.6%)","33308 (82.3%)","2763 (84.4%)"
"Race: Non-Hispanic White","160 (51.1%)","14887 (36.8%)","1683 (51.4%)"
"Race: Non-Hispanic Black","45 (14.4%)","5909 (14.6%)","293 (9.0%)"
"Race: Hispanic","101 (32.3%)","16394 (40.5%)","1198 (36.6%)"
"Race: Other","7 (2.2%)","3290 (8.1%)","99 (3.0%)"
"Education > High school","187 (59.7%)","25808 (63.8%)","2262 (69.1%)"
"Education <= High school","126 (40.3%)","14672 (36.2%)","1011 (30.9%)"
"BMI, kg/m2","28.5 (6.1)","28.3 (6.6)","28.2 (6.3)"
"Albumin, g/dL","4.09 (0.38)","4.22 (0.37)","4.14 (0.34)"
"Lymphocyte, /uL","1972 (990)","2209 (719)","2000 (813)"
"Total cholesterol, mg/dL","195.1 (43.5)","195.9 (42.8)","199.9 (43.8)"
"PNI","50.8 (6.5)","53.2 (5.2)","51.4 (5.3)"
"CONUT","1.1 (1.4)","0.7 (1.0)","0.9 (1.1)"
"GNRI","115.0 (12.2)","116.4 (12.4)","115.2 (12.2)"
"Deaths","169 (54.0%)","7659 (18.9%)","1444 (44.1%)"
"Survival, years","8.8 (6.9)","13.3 (8.8)","9.6 (6.7)"
