"exposure","model","beta","se","lower","upper","p_value","N","R2"
"E_DII_scaled","Model 1: Age+Sex",0.0801964130715187,0.0165843470083015,0.0462776149747257,0.114115211168312,4.0047648951987e-05,2313,0.20852004080391
"E_DII_scaled","Model 2: +SES+Race",0.0477468954797292,0.0171955699216564,0.0121751488958018,0.0833186420636566,0.0107285669766597,2313,0.371402941131403
"E_DII_scaled","Model 3: +Lifestyle+Comorb",0.0401770915896062,0.0172695123916707,0.00336799725034072,0.0769861859288716,0.0344145607902718,2307,0.391450159879256
"E_DII_scaled","Model 4: +Depression",0.0437117161272953,0.0174698297147952,0.00624265791481163,0.081180774339779,0.0253622686008049,2307,0.397917726875451
"PNI_scaled","Model 1: Age+Sex",0.0724738431755833,0.0236571046629357,0.0240896314719115,0.120858054879255,0.00469027584115511,2313,0.203317704698307
"PNI_scaled","Model 2: +SES+Race",0.0540658736037242,0.021918173198438,0.00872467781029265,0.0994070693971557,0.0215131758499261,2313,0.371213584200222
"PNI_scaled","Model 3: +Lifestyle+Comorb",0.0413854339922494,0.0208370565542778,-0.00302770073116929,0.0857985687156681,0.0656048127423145,2307,0.390647717601528
"PNI_scaled","Model 4: +Depression",0.038476515863941,0.0208287425143713,-0.00619669380695018,0.0831497255348321,0.0859459795823689,2307,0.39620337948137
"CONUT_scaled","Model 1: Age+Sex",0.0625023152216497,0.0141459626455831,0.0335705731024012,0.0914340573408983,0.000127195600893865,2313,0.201335647008693
"CONUT_scaled","Model 2: +SES+Race",0.0654774560268603,0.013941365459386,0.0366375442696682,0.0943173677840523,9.91461221078446e-05,2313,0.37343178868047
"CONUT_scaled","Model 3: +Lifestyle+Comorb",0.0521518357973478,0.0131179662036054,0.0241915526940046,0.0801121189006911,0.00121831658355448,2307,0.392285691073633
"CONUT_scaled","Model 4: +Depression",0.0533102265408408,0.0130996993586877,0.025214165740602,0.0814062873410797,0.00114842008351145,2307,0.398356064147281
"GNRI_scaled","Model 1: Age+Sex",0.0695812692108589,0.0199728686659204,0.0287321661768951,0.110430372244823,0.00159075807092791,2313,0.202823968421579
"GNRI_scaled","Model 2: +SES+Race",0.0527413606200028,0.0191706084721204,0.0130839355077869,0.0923987857322186,0.0113740476189266,2313,0.371094856579744
"GNRI_scaled","Model 3: +Lifestyle+Comorb",0.039697591579334,0.0194190992657958,-0.00169323872592658,0.0810884218845946,0.05889584383373,2307,0.390617563551029
"GNRI_scaled","Model 4: +Depression",0.0367424578668078,0.0193676066171597,-0.00479692698250506,0.0782818427161207,0.0786347591082726,2307,0.396158464938084
