"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"cog_z_composite","~","E_DII_raw","c",-0.0344373528812112,0.0130118198213444,-2.64662079202178,0.00813004637707349,-0.0599400511043707,-0.00893465465805176,-0.0344373528812112,-0.0441321666150285,-0.0460695681062572
"cog_z_composite","~","age","",-0.0350722476526424,0.00195371513686333,-17.9515667309363,0,-0.0389014589569452,-0.0312430363483395,-0.0350722476526424,-0.315701361700057,-0.0469189170098633
"cog_z_composite","~","sex_binary","",0.2661686054583,0.0262367344013661,10.1448831773988,0,0.214745550959679,0.31759165995692,0.2661686054583,0.178019266856202,0.35607477552663
"cog_z_composite","~","edu_binary","",0.382070985907502,0.0287645531164565,13.2827019547512,0,0.325693497767858,0.438448474047146,0.382070985907502,0.254973863973315,0.511126548181754
"cog_z_composite","~","income_pir","",0.0849092031495262,0.00928431131769884,9.14544980710226,0,0.0667122873455788,0.103106118953474,0.0849092031495262,0.181907423680874,0.113589750374784
"cog_z_composite","~","bmi","",0.00875442687252069,0.00225377315790905,3.88434250439057,0.000102607179213621,0.00433711265369585,0.0131717410913455,0.00875442687252069,0.075112628065745,0.0117114885811936
"cog_z_composite","~","comorb_count","",-0.0701309162182248,0.0141220733427874,-4.96604956764675,6.83304969051335e-07,-0.0978096713571212,-0.0424521610793284,-0.0701309162182248,-0.0984254473690673,-0.0938196682019797
"phq9_total","~","E_DII_raw","a",-0.131565655155824,0.0862528321131547,-1.52534881385951,0.127172118494181,-0.300618099662187,0.0374867893505387,-0.131565655155824,-0.0295072508964882,-0.030802618794185
"phq9_total","~","age","",-0.0553797268578661,0.0126450388117288,-4.3795616353901,1.18918284204295e-05,-0.0801635475119657,-0.0305959062037666,-0.0553797268578661,-0.0872417550745989,-0.0129656984819372
"phq9_total","~","sex_binary","",0.853166614947395,0.169736949377899,5.02640478737438,4.99760432148832e-07,0.520488307321015,1.18584492257378,0.853166614947395,0.099863034861954,0.199746400206228
"phq9_total","~","edu_binary","",-0.409613122904915,0.189235563733738,-2.16456735099358,0.0304208335671523,-0.780508012417176,-0.0387182333926546,-0.409613122904915,-0.0478394520593238,-0.0959000801766404
"phq9_total","~","income_pir","",-0.430489555607971,0.057001832771914,-7.55220551118986,4.2854608750531e-14,-0.542211094893698,-0.318768016322245,-0.430489555607971,-0.161405751264125,-0.100787744799851
"phq9_total","~","bmi","",0.0258856246692237,0.0155355482996305,1.66621893028644,0.0956698168556134,-0.00456349047813459,0.056334739816582,0.0258856246692237,0.0388691117785193,0.00606043444994127
"phq9_total","~","comorb_count","",0.769972144549884,0.101314786401114,7.59980030458239,2.97539770599542e-14,0.571398812102333,0.968545476997436,0.769972144549884,0.189118331248034,0.180268615107955
"cog_z_composite","~","phq9_total","b",-0.0167258554347813,0.00338210263747203,-4.94540149357596,7.59870880440161e-07,-0.0233546547962444,-0.0100970560733182,-0.0167258554347813,-0.0955713257031516,-0.0955713257031516
"cog_z_composite","~~","cog_z_composite","",0.38135849746068,0.0113207126720969,33.6867923872537,0,0.359170308344044,0.403546686577316,0.38135849746068,0.682499264624613,0.682499264624613
"phq9_total","~~","phq9_total","",16.2249073445823,0.850293486272273,19.0815378531394,0,14.5583627351996,17.8914519539649,16.2249073445823,0.889349452903365,0.889349452903365
"E_DII_raw","~~","E_DII_raw","",0.917660876847776,0,NA,NA,0.917660876847776,0.917660876847776,0.917660876847776,1,0.917660876847776
"E_DII_raw","~~","age","",-0.117117683578726,0,NA,NA,-0.117117683578726,-0.117117683578726,-0.117117683578726,-0.0181699147536165,-0.117117683578726
"E_DII_raw","~~","sex_binary","",0.0529684682330278,0,NA,NA,0.0529684682330278,0.0529684682330278,0.0529684682330278,0.110598823391896,0.0529684682330278
"E_DII_raw","~~","edu_binary","",-0.0584551483997302,0,NA,NA,-0.0584551483997302,-0.0584551483997302,-0.0584551483997302,-0.12232477698363,-0.0584551483997302
"E_DII_raw","~~","income_pir","",-0.146054751646078,0,NA,NA,-0.146054751646078,-0.146054751646078,-0.146054751646078,-0.0952057775647035,-0.146054751646078
"E_DII_raw","~~","bmi","",0.419249681760277,0,NA,NA,0.419249681760277,0.419249681760277,0.419249681760277,0.068238704800293,0.419249681760277
"E_DII_raw","~~","comorb_count","",0.0640535768504931,0,NA,NA,0.0640535768504931,0.0640535768504931,0.0640535768504931,0.0637365825196579,0.0640535768504931
"age","~~","age","",45.274842900958,0,NA,NA,45.274842900958,45.274842900958,45.274842900958,1,45.274842900958
"age","~~","sex_binary","",-0.0228427491822885,0,NA,NA,-0.0228427491822885,-0.0228427491822885,-0.0228427491822885,-0.00679038027268331,-0.0228427491822885
"age","~~","edu_binary","",-0.0552363948277161,0,NA,NA,-0.0552363948277161,-0.0552363948277161,-0.0552363948277161,-0.0164562024970628,-0.0552363948277161
"age","~~","income_pir","",-0.547766693601403,0,NA,NA,-0.547766693601403,-0.547766693601403,-0.547766693601403,-0.0508341853297142,-0.547766693601403
"age","~~","bmi","",-6.03972501522958,0,NA,NA,-6.03972501522958,-6.03972501522958,-6.03972501522958,-0.139954810879309,-6.03972501522958
"age","~~","comorb_count","",0.253605207805862,0,NA,NA,0.253605207805862,0.253605207805862,0.253605207805862,0.0359266056397178,0.253605207805862
"sex_binary","~~","sex_binary","",0.249949111854667,0,NA,NA,0.249949111854667,0.249949111854667,0.249949111854667,1,0.249949111854667
"sex_binary","~~","edu_binary","",-0.000566358421889901,0,NA,NA,-0.000566358421889901,-0.000566358421889901,-0.000566358421889901,-0.00227090171114767,-0.000566358421889901
"sex_binary","~~","income_pir","",-0.0633280622747532,0,NA,NA,-0.0633280622747532,-0.0633280622747532,-0.0633280622747532,-0.0790968380641537,-0.0633280622747532
"sex_binary","~~","bmi","",0.239212358052916,0,NA,NA,0.239212358052916,0.239212358052916,0.239212358052916,0.0746031138869967,0.239212358052916
"sex_binary","~~","comorb_count","",0.0178520660587005,0,NA,NA,0.0178520660587005,0.0178520660587005,0.0178520660587005,0.034036835954634,0.0178520660587005
"edu_binary","~~","edu_binary","",0.248848170895944,0,NA,NA,0.248848170895944,0.248848170895944,0.248848170895944,1,0.248848170895944
"edu_binary","~~","income_pir","",0.324626081010937,0,NA,NA,0.324626081010937,0.324626081010937,0.324626081010937,0.406354341810189,0.324626081010937
"edu_binary","~~","bmi","",-0.185969750478927,0,NA,NA,-0.185969750478927,-0.185969750478927,-0.185969750478927,-0.0581265067421638,-0.185969750478927
"edu_binary","~~","comorb_count","",-0.0641588764346112,0,NA,NA,-0.0641588764346112,-0.0641588764346112,-0.0641588764346112,-0.122595920454412,-0.0641588764346112
"income_pir","~~","income_pir","",2.56461723112788,0,NA,NA,2.56461723112788,2.56461723112788,2.56461723112788,1,2.56461723112788
"income_pir","~~","bmi","",-0.853351874749151,0,NA,NA,-0.853351874749151,-0.853351874749151,-0.853351874749151,-0.0830837348001865,-0.853351874749151
"income_pir","~~","comorb_count","",-0.275560882689227,0,NA,NA,-0.275560882689227,-0.275560882689227,-0.275560882689227,-0.164018480640039,-0.275560882689227
"bmi","~~","bmi","",41.1340731806112,0,NA,NA,41.1340731806112,41.1340731806112,41.1340731806112,1,41.1340731806112
"bmi","~~","comorb_count","",3.17143422700207,0,NA,NA,3.17143422700207,3.17143422700207,3.17143422700207,0.471347649810314,3.17143422700207
"comorb_count","~~","comorb_count","",1.10059366699134,0,NA,NA,1.10059366699134,1.10059366699134,1.10059366699134,1,1.10059366699134
"cog_z_composite","~1","","",2.01306199358515,0.171537386213302,11.7354125419748,0,1.67685489460494,2.34926909256536,2.01306199358515,2.69303209615126,2.69303209615126
"phq9_total","~1","","",6.75351864681235,1.1681917456752,5.78117305811717,7.41815320282058e-09,4.46390489825198,9.04313239537272,6.75351864681235,1.58115778886822,1.58115778886822
"E_DII_raw","~1","","",4.52313663203747,0,NA,NA,4.52313663203747,4.52313663203747,4.52313663203747,4.72170226631468,4.52313663203747
"age","~1","","",69.3536532641591,0,NA,NA,69.3536532641591,69.3536532641591,69.3536532641591,10.3072038850548,69.3536532641591
"sex_binary","~1","","",0.507133592736706,0,NA,NA,0.507133592736706,0.507133592736706,0.507133592736706,1.01437042958726,0.507133592736706
"edu_binary","~1","","",0.533938607868569,0,NA,NA,0.533938607868569,0.533938607868569,0.533938607868569,1.07034577320205,0.533938607868569
"income_pir","~1","","",2.65229139645482,0,NA,NA,2.65229139645482,2.65229139645482,2.65229139645482,1.65618923927493,2.65229139645482
"bmi","~1","","",29.215261565067,0,NA,NA,29.215261565067,29.215261565067,29.215261565067,4.5552154281752,29.215261565067
"comorb_count","~1","","",1.28534370946822,0,NA,NA,1.28534370946822,1.28534370946822,1.28534370946822,1.22519656827802,1.28534370946822
"ab",":=","a*b","ab",0.00220054812831861,0.00149567498946365,1.47127427002555,0.141216958755213,-0.000730920983607468,0.00513201724024469,0.00220054812831861,0.00282004708603289,0.00294384711328908
"total",":=","c+(a*b)","total",-0.0322368047528926,0.0129542156742958,-2.48851845325209,0.012827657999678,-0.0576266009224767,-0.00684700858330857,-0.0322368047528926,-0.0413121195289956,-0.0431257209929681
