"subgroup_var","subgroup_level","N","beta","se","lower","upper","p_value"
"sex_binary","Male",1140,0.0469484196141612,0.0224477393017855,-0.000638661887231169,0.0945355011155535,0.0527946759394466
"sex_binary","Female",1173,0.035246302708213,0.0213831283001077,-0.0100839042891133,0.0805765097055393,0.118780157202907
"age_group","60-69",1272,0.0501233893122563,0.0233949386145369,0.000258258033902684,0.0999885205906099,0.0489666547303223
"age_group","70-79",680,0.00700119797825916,0.0303582630819708,-0.0577059080717917,0.07170830402831,0.820726503372712
"age_group","80+",361,0.0477407362151891,0.0253798502165966,-0.0066936286707151,0.102175101101093,0.0809276146876055
"edu_binary","≤HS",1078,0.0285609100203294,0.0173494513763941,-0.00821828389106988,0.0653401039317287,0.119217619391767
"edu_binary",">HS",1235,0.0425947947120148,0.0207057754912801,-0.00129948847643552,0.086489077900465,0.0563544725416529
"income_low","PIR>130%",1652,0.0456036115059074,0.0187453638922857,0.00564881415634237,0.0855584088554724,0.0279701890145032
"income_low","PIR≤130%",661,0.00192973937142858,0.0313754917128152,-0.0649455381815658,0.068805016924423,0.951769328660397
"food_insecure","Secure",2029,0.0398274431402181,0.0176053003419816,0.0023026337268581,0.077352252553578,0.0389602583220861
"food_insecure","Insecure",284,0.03759587960271,0.0433390366806543,-0.0589695118331141,0.134161271038534,0.406012682989922
"phq9_depression","PHQ-9<10",2106,0.0420462738364819,0.0172916631626086,0.00518996624656711,0.0789025814263967,0.0280361904177619
"phq9_depression","PHQ-9≥10",207,0.0566581706501171,0.0218327512711105,0.00503191751545595,0.108284423784778,0.0356788017141442
"cvd_any","No CVD",1799,0.0379554818264091,0.0199709472573427,-0.00461158462965214,0.0805225482824704,0.076756289355426
"cvd_any","CVD",514,0.0479085009142614,0.0231354033617042,-0.00207249936298818,0.097889501191511,0.0588458694687708
"dm_diagnosed","No DM",1782,0.0454403680321102,0.0191118811775286,0.00470435758147435,0.086176378482746,0.0311582179668155
"dm_diagnosed","DM",531,-0.00175636099984107,0.0225297607811663,-0.0500778920052591,0.0465651700055769,0.938965201698728
