"variable","level","T1_mean","T2_mean","T3_mean","p_value","T1_prop","T2_prop","T3_prop"
"age","","70.01 (6.79)","68.71 (6.71)","68.36 (6.18)",NA,NA,NA,NA
"sex_binary","",NA,NA,NA,0.0591540702016105,"57.1%","54.1%","48.9%"
"sex_binary","se",NA,NA,NA,NA,"2.1%","1.7%","2.5%"
"race_eth","Mexican American",NA,NA,NA,2.96930139819491e-07,"3.0%","3.1%","3.3%"
"race_eth","Non-Hispanic Black",NA,NA,NA,NA,"10.3%","6.9%","5.4%"
"race_eth","Non-Hispanic White",NA,NA,NA,NA,"79.3%","84.7%","81.0%"
"race_eth","Other Hispanic",NA,NA,NA,NA,"3.4%","3.1%","3.3%"
"race_eth","Other Race",NA,NA,NA,NA,"4.0%","2.2%","7.0%"
"edu_binary","",NA,NA,NA,0.115966532696179,"59.8%","67.2%","64.1%"
"edu_binary","se",NA,NA,NA,NA,"2.5%","2.4%","3.1%"
"income_pir","","2.91 (1.58)","3.27 (1.54)","3.29 (1.56)",NA,NA,NA,NA
"income_low","",NA,NA,NA,0.0893199316395274,"20.0%","15.4%","15.3%"
"income_low","se",NA,NA,NA,NA,"1.8%","1.5%","2.3%"
"food_insecure","",NA,NA,NA,0.0264848789575106,"9.8%","6.1%","5.7%"
"food_insecure","se",NA,NA,NA,NA,"1.4%","1.1%","1.1%"
"bmi","","30.84 (7.75)","29.27 (5.76)","27.58 (5.08)",NA,NA,NA,NA
"smoking","Current",NA,NA,NA,0.196429986131477,"12.2%","8.3%","12.5%"
"smoking","Former",NA,NA,NA,NA,"39.6%","41.7%","37.2%"
"smoking","Never",NA,NA,NA,NA,"48.2%","50.0%","50.2%"
"alcohol","Current",NA,NA,NA,0.00197526514294766,"49.2%","61.2%","63.0%"
"alcohol","Former",NA,NA,NA,NA,"18.4%","13.8%","14.5%"
"alcohol","Never",NA,NA,NA,NA,"32.4%","25.0%","22.5%"
"dm_diagnosed","",NA,NA,NA,0.0020343835895153,"23.4%","19.0%","14.7%"
"dm_diagnosed","se",NA,NA,NA,NA,"2.0%","1.6%","1.5%"
"htn","",NA,NA,NA,0.4747707566507,"29.6%","26.6%","29.3%"
"htn","se",NA,NA,NA,NA,"2.0%","2.2%","2.3%"
"cvd_any","",NA,NA,NA,8.510665629669e-05,"29.4%","19.0%","17.9%"
"cvd_any","se",NA,NA,NA,NA,"2.3%","1.7%","1.4%"
"obesity","",NA,NA,NA,2.91800141605573e-09,"48.8%","40.0%","25.9%"
"obesity","se",NA,NA,NA,NA,"2.1%","2.3%","2.0%"
"comorb_count","","1.49 (1.11)","1.18 (1.02)","0.99 (0.93)",NA,NA,NA,NA
"crp_mgdl","","96.80 (85.04)","83.45 (25.08)","84.32 (25.95)",NA,NA,NA,NA
"pa_active","",NA,NA,NA,0.00059659324539171,"45.1%","58.3%","56.4%"
"pa_active","se",NA,NA,NA,NA,"2.2%","2.7%","2.3%"
"cerad_imm","","19.20 (4.51)","20.15 (4.43)","20.14 (4.28)",NA,NA,NA,NA
"cerad_del","","6.10 (2.27)","6.36 (2.21)","6.44 (2.32)",NA,NA,NA,NA
"animal_flu","","17.26 (5.39)","18.92 (5.81)","18.75 (5.43)",NA,NA,NA,NA
"dsst","","49.73 (16.63)","54.14 (15.86)","54.57 (16.27)",NA,NA,NA,NA
"cog_z_composite","","0.17 (0.72)","0.39 (0.76)","0.39 (0.73)",NA,NA,NA,NA
"phq9_total","","3.55 (4.37)","2.65 (3.90)","2.34 (3.45)",NA,NA,NA,NA
"phq9_depression","",NA,NA,NA,0.0134974360026487,"10.7%","5.9%","5.4%"
"phq9_depression","se",NA,NA,NA,NA,"1.7%","1.4%","0.9%"
"E_DII","","4.59 (0.88)","4.42 (1.20)","4.43 (0.98)",NA,NA,NA,NA
"PNI","","397.09 (19.91)","429.76 (7.14)","459.38 (17.07)",NA,NA,NA,NA
"CONUT","","1.31 (1.28)","0.89 (0.93)","0.80 (0.92)",NA,NA,NA,NA
"albumin_gdl","","38.82 (2.01)","42.04 (0.77)","44.92 (1.56)",NA,NA,NA,NA
